ID,Count,Percentage,Refined Topic,Representation,MaximalMarginalRelevance,Top Documents
1,734,0.05512993841,Unexpected Results,"['pointer', 'assertion', 'line', 'std', 'success', 'program', 'invariant', 'nothrow', 'nothrow leaf', 'leaf']","['pointer', 'assertion', 'attribute nothrow', 'nothrow leaf', 'failure', 'allocator', 'line result', 'std allocator', 'behaviour expect', 'x86_64']","https://github.com/diffblue/cbmc/issues/7424
https://github.com/diffblue/cbmc/issues/8200
https://github.com/diffblue/cbmc/issues/4275
https://github.com/diffblue/cbmc/issues/8228
https://github.com/diffblue/cbmc/issues/3706"
2,577,0.04333783987,Type Inference,"['array', 'arrayclass', 'arrayclass arrayclass', 'snippet', 'expect', 'code snippet', 'snippet reproduce', 'expect output', 'reproduce problem', 'problem']","['array', 'expect', 'expect output', 'problem expect', 'in_array', 'array array', 'array report', 'non array', 'output error', 'expect array']","https://github.com/phpstan/phpstan/issues/6803
https://github.com/phpstan/phpstan/issues/12254
https://github.com/phpstan/phpstan/issues/7061
https://github.com/phpstan/phpstan/issues/5068
https://github.com/phpstan/phpstan/issues/3266"
3,287,0.02155625657,Type Inference,"['phpdoc', 'var', 'property', 'snippet', 'code snippet', 'snippet reproduce', 'problem', 'reproduce problem', 'report', 'expect output']","['phpdoc', 'code snippet', 'snippet reproduce', 'expect output', 'problem expect', 'output error', 'phpdoc var', 'inheritdoc', 'subtype', 'phpdoc report']","https://github.com/phpstan/phpstan/issues/5342
https://github.com/phpstan/phpstan/issues/3156
https://github.com/phpstan/phpstan/issues/4167
https://github.com/phpstan/phpstan/issues/8662
https://github.com/phpstan/phpstan/issues/12035"
4,456,0.03424966201,Unable to summarize a topic,"['snippet', 'problem expect', 'expect output', 'code snippet', 'snippet reproduce', 'reproduce problem', 'report', 'output', 'expect', 'reproduce']","['problem expect', 'snippet', 'expect output', 'code snippet', 'snippet reproduce', 'reproduce problem', 'expect', 'report code', 'output error', 'error report']","https://github.com/phpstan/phpstan/issues/7318
https://github.com/phpstan/phpstan/issues/7699
https://github.com/phpstan/phpstan/issues/7731
https://github.com/phpstan/phpstan/issues/12571
https://github.com/phpstan/phpstan/issues/9415"
5,234,0.01757548445,Template Issues,"['template', 'generic', 'collection', 'param', 'expect', 'covariant', 'snippet', 'expect output', 'snippet reproduce', 'reproduce problem']","['template', 'expect', 'snippet reproduce', 'expect output', 'problem expect', 'output error', 'resolve template', 'template param', 'template report', 'problem template']","https://github.com/phpstan/phpstan/issues/6690
https://github.com/phpstan/phpstan/issues/5654
https://github.com/phpstan/phpstan/issues/11008
https://github.com/phpstan/phpstan/issues/6465
https://github.com/phpstan/phpstan/issues/11587"
6,381,0.02861649392,Missing Results,"['rule', 'negative', 'sample', 'code sample', 'violation', 'outcome', 'sample demonstrate', 'description', 'demonstrate issue', 'report violation']","['demonstrate issue', 'report violation', 'negative rule', 'violation line', 'report warning', 'rule link', 'line negative', 'rule documentation', 'warning line', 'outcome report']","https://github.com/pmd/pmd/issues/4457
https://github.com/spotbugs/spotbugs/issues/1764
https://github.com/spotbugs/spotbugs/issues/2557
https://github.com/spotbugs/spotbugs/issues/1501
https://github.com/spotbugs/spotbugs/issues/2693"
7,322,0.02418506835,Build System,"['urls', 'error urls', 'error error', 'maven', 'info', 'debug', 'error', 'debug debug', 'build', 'version']","['error urls', 'error error', 'maven', 'error', 'maven plugin', 'urls error', 'artifact', 'run maven', 'urls urls', 'map']","https://github.com/pmd/pmd/issues/4986
https://github.com/secure-software-engineering/FlowDroid/issues/281
https://github.com/soot-oss/soot/issues/1853
https://github.com/secure-software-engineering/FlowDroid/issues/463
https://github.com/secure-software-engineering/FlowDroid/issues/452"
8,181,0.01359471233,Inheritance,"['trait', 'trait report', 'use', 'property', 'context', 'expect output', 'snippet', 'problem', 'output', 'code snippet']","['trait', 'trait report', 'expect output', 'report trait', 'snippet reproduce', 'reproduce problem', 'trait trait', 'use trait', 'output error', 'problem expect']","https://github.com/phpstan/phpstan/issues/1762
https://github.com/phpstan/phpstan/issues/6264
https://github.com/phpstan/phpstan/issues/3423
https://github.com/phpstan/phpstan/issues/10690
https://github.com/phpstan/phpstan/issues/3221"
9,168,0.01261829653,Array Handling,"['offset', 'exist', 'offset exist', 'array', 'exist array', 'offset array', 'access', 'snippet', 'snippet reproduce', 'code snippet']","['offset', 'offset exist', 'exist array', 'offset array', 'assign offset', 'expect output', 'access offset', 'arrayaccess', 'array offset', 'error offset']","https://github.com/phpstan/phpstan/issues/4829
https://github.com/phpstan/phpstan/issues/1924
https://github.com/phpstan/phpstan/issues/6743
https://github.com/phpstan/phpstan/issues/12780
https://github.com/phpstan/phpstan/issues/6395"
10,278,0.0208802764,Dependency,"['composer', 'call call', 'vendor', 'analyse', 'file', 'error', 'objectclosure', 'zend', 'require', 'fatal error']","['composer', 'zend', 'autoloader', 'fatal error', 'autoload', 'autoloade', 'vendor bin', 'dependency', 'copyright zend', 'zend technologies']","https://github.com/phpstan/phpstan/issues/9256
https://github.com/phpstan/phpstan/issues/5663
https://github.com/phpstan/phpstan/issues/4699
https://github.com/phpstan/phpstan/issues/3349
https://github.com/phpstan/phpstan/issues/6765"
