ID,Count,Percentage,Refined Topic,Representation,MaximalMarginalRelevance,Top Documents
1,228,0.0730301089,Rule Definitions,"['rule', 'code', 'propose', 'flag', 'apex', 'describe', 'property', 'description', 'category', 'possible']","['apex', 'category', 'ruleset', 'description', 'flag', 'propose category', 'propose rule', 'code sample', 'properties', 'rule propose']","https://github.com/pmd/pmd/issues/2845
https://github.com/pmd/pmd/issues/5304
https://github.com/pmd/pmd/issues/1495
https://github.com/pmd/pmd/issues/5427
https://github.com/pmd/pmd/issues/2851"
2,196,0.06278026906,Type Inference,"['array', 'key', 'value', 'request', 'shape', 'feature request', 'feature', 'array shape', 'help', 'happy way']","['array', 'key', 'feature request', 'feature', 'array shape', 'array key', 'list', 'array feature', 'expect', 'template']","https://github.com/phpstan/phpstan/issues/10206
https://github.com/phpstan/phpstan/issues/4298
https://github.com/phpstan/phpstan/issues/7275
https://github.com/phpstan/phpstan/issues/6892
https://github.com/phpstan/phpstan/issues/2322"
3,179,0.05733504164,Type Inference,"['phpdoc', 'feature', 'request', 'feature request', 'annotation', 'stub', 'help', 'param', 'support', 'happy']","['phpdoc', 'annotation', 'feature request', 'symfony', 'param', 'var', 'error', 'help today', 'doctrine', 'template']","https://github.com/phpstan/phpstan/issues/2842
https://github.com/phpstan/phpstan/issues/3005
https://github.com/phpstan/phpstan/issues/10742
https://github.com/phpstan/phpstan/issues/7183
https://github.com/phpstan/phpstan/issues/5736"
4,133,0.04260089686,Error Messages Refinement,"['request', 'feature request', 'feature', 'expect', 'value', 'range', 'comparison', 'integer', 'happy', 'foo']","['expect', 'range', 'asserttype', 'filter_var', 'min_range', 'expect output', 'max_range', 'option min_range', 'filter_varstr', 'expect error']","https://github.com/phpstan/phpstan/issues/5522
https://github.com/phpstan/phpstan/issues/7834
https://github.com/phpstan/phpstan/issues/10814
https://github.com/phpstan/phpstan/issues/1421
https://github.com/phpstan/phpstan/issues/10547"
5,190,0.06085842409,Unable to summarize a topic,"['pointer', 'std', 'line', '__u', 'std __u', 'loop', 'program', 'implement', 'main', 'allocator']","['pointer', 'program', 'line dereference', 'dereference failure', 'success line', 'exit', 'failure pointer', 'uint32_t', 'myprocessbuilder', 'termination']","https://github.com/diffblue/cbmc/issues/6468
https://github.com/facebook/infer/issues/1799
https://github.com/diffblue/cbmc/issues/7821
https://github.com/diffblue/cbmc/issues/6841
https://github.com/diffblue/cbmc/issues/8217"
6,133,0.04260089686,Documentation,"['documentation', 'github', 'page', 'release', 'build', 'logo', 'project', 'doc', 'need', 'version']","['documentation', 'github', 'build', 'devdoc', 'userdoc', 'release note', 'travis', 'changelog', 'version', 'sourceforge']","https://github.com/facebook/infer/issues/1171
https://github.com/pmd/pmd/issues/791
https://github.com/facebook/infer/issues/1228
https://github.com/diffblue/cbmc/issues/7907
https://github.com/pmd/pmd/issues/985"
7,174,0.05573350416,Config Files,"['file', 'path', 'cache', 'config', 'configuration', 'directory', 'project', 'option', 'neon', 'request']","['path', 'config', 'configuration', 'config file', 'relative path', 'configuration file', 'directory', 'absolute path', 'configure', 'filepath']","https://github.com/phpstan/phpstan/issues/171
https://github.com/phpstan/phpstan/issues/145
https://github.com/phpstan/phpstan/issues/8422
https://github.com/security-code-scan/security-code-scan/issues/37
https://github.com/phpstan/phpstan/issues/8011"
8,163,0.05221012172,Multi-Language Support,"['language', 'rule', 'node', 'deprecate', 'core', 'remove', 'version', 'ruleset', 'need', 'parse']","['common base', 'parse', 'core', 'base language', 'comma_expression', 'parser', 'grammar', 'language version', 'xml', 'heavy_check_mark']","https://github.com/diffblue/cbmc/issues/2908
https://github.com/pmd/pmd/issues/4120
https://github.com/pmd/pmd/issues/334
https://github.com/pmd/pmd/issues/677
https://github.com/soot-oss/SootUp/issues/317"
9,66,0.02114029468,Test Suites,"['test', 'unit', 'source', 'suite', 'test suite', 'regression', 'unit test', 'test source', 'test test', 'coverage']","['test suite', 'unit test', 'regression test', 'junit', 'create test', 'test source', 'testing', 'minimaltestsuite', 'testcase', 'integration test']","https://github.com/soot-oss/SootUp/issues/257
https://github.com/diffblue/cbmc/issues/257
https://github.com/facebook/infer/issues/1139
https://github.com/soot-oss/SootUp/issues/823
https://github.com/diffblue/cbmc/issues/921"
10,55,0.01761691224,Call Graph,"['graph', 'callgraph', 'algorithm', 'edge', 'spark', 'graph algorithm', 'call', 'handle', 'worklist', 'entrypoint']","['graph', 'callgraph', 'algorithm', 'spark', 'edge', 'graph algorithm', 'analysisscope', 'implementation', 'node', 'generate graph']","https://github.com/soot-oss/SootUp/issues/71
https://github.com/soot-oss/SootUp/issues/1298
https://github.com/soot-oss/SootUp/issues/1000
https://github.com/soot-oss/SootUp/issues/429
https://github.com/scottrogowski/code2flow/issues/3"
