ID,Group,Topic,Final 5 Examples,Problem,Root Cause ,Response Type,Response
1,Static Analysis Tasks,Type Inference,https://github.com/phpstan/phpstan/issues/12254,"The analyzer infers return type posix_getpwnam() too broadly as array<string, mixed>, rather than a precisely typed array, knowing uid+gid are integers and the rest are strings. ","Analyzer (e.g., PHPStan) relies on an internal function map to understand the return types of built-in functions. Certain functions are missing from the reflection metadata",Update/Fix in source code,Update the return type to a precise shape in the function map file.
2,Static Analysis Tasks,Type Inference,https://github.com/phpstan/phpstan/issues/7061,"The analyzer infer different return type of the method when a class implements built-in interfaces (e.g., ArrayAccess) from the return type declared in documentation.",Analyzer ignores the return type declared in documentation but conservatively falls back to the more general type when no native return type is declared in the source code,Workaround solution,"Add attribute (e.g., #[\ReturnTypeWillChange]) in the source code of target program to suppress compatibility warnings."
3,Static Analysis Tasks,Type Inference,https://github.com/phpstan/phpstan/issues/5068,Analyzer fails to catch type precision mismatch. This can lead to undetected runtime bugs.,"Analyzer allows a more general type (e.g., mixed[]) to be passed into parameters expecting a narrower, more specific type (e.g., int[]).",Existing solution,Enable configuration to treat types precision comparison more strictly. 
4,Static Analysis Tasks,Type Inference,https://github.com/phpstan/phpstan/issues/6861,"Analyzer cannot recognize certain built-in types correctly (e.g., mixed type in PHP) ","Type hints are interpreted as a class Name or as a built-in Identifier depending on language version (e.g., int is treated as a class name on PHP 5.6 and as a built-in on PHP 7.0.)",Update/Fix in dependency,"Upgraded parser to support version-dependent type resolution.
The limitation is not from the tool's logic, but from third-party dependencies."
5,Static Analysis Tasks,Type Inference,https://github.com/phpstan/phpstan/issues/10312,Analyzer reports an unused type should be removed from the return type when using constant enumerations.,N/A,Invalid issue,"It is correct to suggest narrowing the type to reflect actual behavior, this improves precision and prevents false assumptions."
6,Tool Capabilities,Unexpected Results,https://github.com/phpstan/phpstan/issues/2825,"Analyzer cannot infer the type of a variable after an instanceof check,  if that check is done via a function/method call.","Analyzer does not analyze the internal logic (like instanceof) of called functions or methods. It only considers annotations, parameter and return type hints. ",No fix,Currently not supported by the analyzer.
7,Tool Capabilities,Unexpected Results,https://github.com/phpstan/phpstan/issues/3677,Analyzer fails in type inference when checking multiple variables in a conditional.,Analyzer does not fully analyze the logical structure of compound boolean expressions.,Update/Fix in source code,N/A
8,Tool Capabilities,Unexpected Results,https://github.com/phpstan/phpstan/issues/8371,"Analyzer assumes a method always returns the same value, thus report a false positive.",N/A,Workaround solution,Add annotation (@phpstan-impure) to the method.
9,Tool Capabilities,Unexpected Results,https://github.com/phpstan/phpstan/issues/9882,"Analyzer assumes a method always returns the same value, thus report a false positive.",Analyzer caches return values of functions by default even they aren’t explicitly marked @phpstan-pure.,Workaround solution,Add annotation (@phpstan-impure) to the method. Or enable configuration (rememberPossiblyImpureFunctionValues: false) to treat all unannotated funtions as possibly impure.
10,Tool Capabilities,Unexpected Results,https://github.com/phpstan/phpstan/issues/6245,Analyzer cannot identify the enum declaration with the new language syntax in PHP 8.1. ,Not yet implemented the support for new language syntax.,Update/Fix in source code,Added new feature.
