files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=5.75 s (1926.4 files/s 131559.5 lines/s)"
323,Expect,124,13481,204802
1363,OCaml,46021,32287,187577
7113,HTML,5928,221,69259
405,Java,4987,3841,25794
342,C++,4443,4278,22297
278,Markdown,5958,0,16715
285,C,2993,2737,15539
247,Objective-C,3041,1811,11154
93,C/C++ Header,1861,2867,11059
11,Standard ML,764,547,9301
26,Text,1667,0,7414
80,Erlang,1342,550,5399
249,make,1760,1338,5273
8,CSS,672,237,2858
36,Kotlin,396,277,1551
26,Bourne Shell,303,311,1489
26,JSON,0,0,1482
38,Python,624,237,1263
9,JavaScript,27,41,1098
21,Objective-C++,243,132,804
7,m4,138,79,771
20,CMake,117,97,734
3,Org Mode,3,0,454
19,XML,10,9,450
7,YAML,42,3,304
8,diff,31,160,302
3,SVG,0,2,270
8,Maven,11,1,244
2,Pawn,46,0,240
1,Pascal,71,491,183
3,Bourne Again Shell,30,32,154
3,Dockerfile,26,25,121
1,Windows Module Definition,3,0,92
1,Lisp,12,29,64
3,Gradle,7,3,37
1,AsciiDoc,20,0,21
1,Ant,3,0,19
2,Swift,6,1,18
1,Mathematica,2,0,16
1,Assembly,1,7,10
2,Properties,4,15,5
1,Snakemake,1,4,3
1,ProGuard,2,15,0
11078,SUM,83740,66166,606640
