files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=4.39 s (839.0 files/s 101905.2 lines/s)"
3362,Java,48453,70406,222181
39,XML,2095,573,34093
41,PO File,5135,5377,24425
2,JSON,0,0,5760
25,HTML,516,103,5634
8,XSLT,318,158,3007
29,Properties,153,72,1904
26,Text,399,0,1852
27,Gradle,223,116,1649
2,diff,156,792,1276
4,XSD,121,3,1263
12,INI,2,0,1242
20,reStructuredText,593,324,995
19,Markdown,343,0,955
1,TeX,134,1,770
30,Bourne Shell,146,168,415
3,DTD,136,275,262
6,YAML,19,30,255
2,DOS Batch,66,43,225
4,Python,106,171,186
2,make,34,6,157
3,Ant,24,74,128
3,Perl,35,5,125
2,SQL,24,33,108
1,SVG,0,0,68
2,CSS,4,3,19
1,TOML,3,0,15
1,Kotlin,11,0,14
1,Dockerfile,5,3,11
1,Groovy,1,0,7
1,TNSDL,0,0,5
3680,SUM,59255,78736,309006
