files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=3.78 s (647.5 files/s 98723.2 lines/s)"
2036,Java,37484,69091,206382
126,JavaScript,834,373,38078
38,INI,0,0,8871
58,XML,52,78,4379
36,Gradle,374,302,1764
63,HTML,186,277,1409
6,C++,196,10,751
8,C/C++ Header,124,27,407
4,Markdown,108,4,357
22,Text,0,0,293
6,Kotlin,50,58,270
5,Bourne Shell,43,141,143
3,YAML,2,5,138
25,Properties,22,39,114
1,DOS Batch,21,2,71
1,TOML,2,0,54
5,JSON,0,0,33
1,Python,10,8,32
2,Bourne Again Shell,9,8,31
1,OCaml,5,10,12
1,Scheme,3,0,8
1,Ruby,0,0,3
1,HLSL,0,0,2
2450,SUM,39525,70433,263602
