Topic,Count,Percentage,Topic Label (to be filled in by reviewer),Representation,KeyBERTInspired,PartOfSpeech,MaximalMarginalRelevance,Top Documents,quick fix,slow fix,hot topic,first time,easy fix,hard fix,reason,result type,answer,phase,user/developer,related tools,Kadiray,Miao,agree
0,734,0.05512993841,Unexpected Results,"['pointer', 'assertion', 'line', 'std', 'success', 'program', 'invariant', 'nothrow', 'nothrow leaf', 'leaf']","['pointer check', 'x86_64', 'dereference failure', 'pointer virtual', 'bit x86_64', 'runtime', 'assertion line', 'check fail', 'solver', 'cprover library']","['pointer', 'assertion', 'line', 'success', 'nothrow', 'leaf', 'attribute', 'program', 'invariant', 'verification']","['pointer', 'assertion', 'attribute nothrow', 'nothrow leaf', 'failure', 'allocator', 'line result', 'std allocator', 'behaviour expect', 'x86_64']","https://github.com/diffblue/cbmc/issues/7424
https://github.com/diffblue/cbmc/issues/8200
https://github.com/diffblue/cbmc/issues/4275
https://github.com/diffblue/cbmc/issues/8228
https://github.com/diffblue/cbmc/issues/3706",69,149,48,5,30,34,,,,,,"diffblue/cbmc (652)
facebook/infer (40)
phpstan/phpstan (9)
wala/WALA (7)
pmd/pmd (6)
secure-software-engineering/phasar (5)
soot-oss/soot (5)
vitsalis/PyCG (4)
soot-oss/SootUp (3)
arguslab/Argus-SAF (1)
scottrogowski/code2flow (1)
spotbugs/spotbugs (1)",Unexpected results,Inconsistent Verification Behavior,Y
1,577,0.04333783987,Type Inference,"['array', 'arrayclass', 'arrayclass arrayclass', 'snippet', 'expect', 'code snippet', 'snippet reproduce', 'expect output', 'reproduce problem', 'problem']","['expect array', 'array report', 'report array', 'error array', 'array give', 'array accept', 'array array', 'output expect', 'non array', 'accept array']","['array', 'snippet', 'report', 'problem', 'reproduce', 'in_array', 'output', 'code', 'help', 'today']","['array', 'expect', 'expect output', 'problem expect', 'in_array', 'array array', 'array report', 'non array', 'output error', 'expect array']","https://github.com/phpstan/phpstan/issues/6803
https://github.com/phpstan/phpstan/issues/12254
https://github.com/phpstan/phpstan/issues/7061
https://github.com/phpstan/phpstan/issues/5068
https://github.com/phpstan/phpstan/issues/3266",195,110,208,2,4,3,,,,,,"phpstan/phpstan (562)
diffblue/cbmc (5)
pmd/pmd (3)
spotbugs/spotbugs (2)
soot-oss/SootUp (2)
soot-oss/soot (2)
facebook/infer (1)",type inference,Errors in type inference/compatibility,Y
2,287,0.02155625657,Type Inference,"['phpdoc', 'var', 'property', 'snippet', 'code snippet', 'snippet reproduce', 'problem', 'reproduce problem', 'report', 'expect output']","['phpdoc report', 'report phpdoc', 'error phpdoc', 'phpdoc var', 'phpdoc code', 'phpdoc certain', 'phpdoc param', 'ignore phpdoc', 'phpdoc', 'phpdoc ignore']","['phpdoc', 'var', 'property', 'problem', 'report', 'reproduce', 'output', 'code', 'help', 'happy']","['phpdoc', 'code snippet', 'snippet reproduce', 'expect output', 'problem expect', 'output error', 'phpdoc var', 'inheritdoc', 'subtype', 'phpdoc report']","https://github.com/phpstan/phpstan/issues/5342
https://github.com/phpstan/phpstan/issues/3156
https://github.com/phpstan/phpstan/issues/4167
https://github.com/phpstan/phpstan/issues/8662
https://github.com/phpstan/phpstan/issues/12035",149,41,99,0,1,1,,,,,,"phpstan/phpstan (286)
facebook/infer (1)",Errors in Type Compatibility using PHPDoc,Errors in PHPStan Type handling,Y
3,456,0.03424966201,Unable to summarize a topic,"['snippet', 'problem expect', 'expect output', 'code snippet', 'snippet reproduce', 'reproduce problem', 'report', 'output', 'expect', 'reproduce']","['output expect', 'expect output', 'problem expect', 'response expect', 'report snippet', 'report error', 'snippet reproduce', 'report code', 'output report', 'output error']","['snippet', 'report', 'output', 'reproduce', 'problem', 'today', 'happy', 'code', 'happy way', 'way']","['problem expect', 'snippet', 'expect output', 'code snippet', 'snippet reproduce', 'reproduce problem', 'expect', 'report code', 'output error', 'error report']","https://github.com/phpstan/phpstan/issues/7318
https://github.com/phpstan/phpstan/issues/7699
https://github.com/phpstan/phpstan/issues/7731
https://github.com/phpstan/phpstan/issues/12571
https://github.com/phpstan/phpstan/issues/9415",196,57,111,2,4,1,,,,,,"phpstan/phpstan (440)
spotbugs/spotbugs (6)
diffblue/cbmc (3)
soot-oss/soot (2)
secure-software-engineering/phasar (1)
facebook/infer (1)
soot-oss/SootUp (1)
pmd/pmd (1)
wala/WALA (1)",Unable to summarize a topic,Unexpected Error Report,N
4,234,0.01757548445,Template Issues,"['template', 'generic', 'collection', 'param', 'expect', 'covariant', 'snippet', 'expect output', 'snippet reproduce', 'reproduce problem']","['expect template', 'output expect', 'expect output', 'error template', 'template declaration', 'template param', 'template report', 'problem expect', 'problem template', 'template value']","['template', 'generic', 'param', 'covariant', 'snippet', 'output', 'reproduce', 'problem', 'report', 'code']","['template', 'expect', 'snippet reproduce', 'expect output', 'problem expect', 'output error', 'resolve template', 'template param', 'template report', 'problem template']","https://github.com/phpstan/phpstan/issues/6690
https://github.com/phpstan/phpstan/issues/5654
https://github.com/phpstan/phpstan/issues/11008
https://github.com/phpstan/phpstan/issues/6465
https://github.com/phpstan/phpstan/issues/11587",76,25,66,2,0,0,,,,,,phpstan/phpstan (234),Template Related Bug,Template issues,Y
5,381,0.02861649392,Missing Results,"['rule', 'negative', 'sample', 'code sample', 'violation', 'outcome', 'sample demonstrate', 'description', 'demonstrate issue', 'report violation']","['maven negative', 'maven positive', 'rule report', 'negative rule', 'rule documentation', 'rule description', 'warn line', 'warning line', 'rule link', 'positive rule']","['negative', 'rule', 'sample', 'outcome', 'violation', 'demonstrate', 'description', 'negative rule', 'negative run', 'affects']","['demonstrate issue', 'report violation', 'negative rule', 'violation line', 'report warning', 'rule link', 'line negative', 'rule documentation', 'warning line', 'outcome report']","https://github.com/pmd/pmd/issues/4457
https://github.com/spotbugs/spotbugs/issues/1764
https://github.com/spotbugs/spotbugs/issues/2557
https://github.com/spotbugs/spotbugs/issues/1501
https://github.com/spotbugs/spotbugs/issues/2693",41,123,85,0,32,43,,,,,,"pmd/pmd (309)
spotbugs/spotbugs (61)
facebook/infer (6)
phpstan/phpstan (3)
arguslab/Argus-SAF (1)
diffblue/cbmc (1)",False Negative Finding,False Negative Report,Y
6,322,0.02418506835,Build System,"['urls', 'error urls', 'error error', 'maven', 'info', 'debug', 'error', 'debug debug', 'build', 'version']","['run maven', 'maven plugin', 'maven', 'error urls', 'error run', 'resolve ofdebug', 'version description', 'error failed', 'urls error', 'error error']","['urls', 'maven', 'debug', 'error', 'info', 'version', 'build', 'snapshot', 'exception', 'fail']","['error urls', 'error error', 'maven', 'error', 'maven plugin', 'urls error', 'artifact', 'run maven', 'urls urls', 'map']","https://github.com/pmd/pmd/issues/4986
https://github.com/secure-software-engineering/FlowDroid/issues/281
https://github.com/soot-oss/soot/issues/1853
https://github.com/secure-software-engineering/FlowDroid/issues/463
https://github.com/secure-software-engineering/FlowDroid/issues/452",85,39,83,2,29,16,,,,,,"pmd/pmd (147)
spotbugs/spotbugs (65)
wala/WALA (22)
soot-oss/soot (21)
secure-software-engineering/FlowDroid (19)
soot-oss/SootUp (14)
facebook/infer (14)
phpstan/phpstan (8)
diffblue/cbmc (4)
yanniss/doop-deprecated (2)
plast-lab/doop (2)
security-code-scan/security-code-scan (2)
secure-software-engineering/phasar (1)
arguslab/Argus-SAF (1)",errors during Maven build,Build system error (Maven),Y
7,181,0.01359471233,Inheritance,"['trait', 'trait report', 'use', 'property', 'context', 'expect output', 'snippet', 'problem', 'output', 'code snippet']","['trait report', 'report trait', 'trait code', 'declare trait', 'trait check', 'error trait', 'trait generic', 'use trait', 'trait implement', 'trait trait']","['trait', 'use', 'context', 'property', 'problem', 'snippet', 'output', 'code', 'reproduce', 'report']","['trait', 'trait report', 'expect output', 'report trait', 'snippet reproduce', 'reproduce problem', 'trait trait', 'use trait', 'output error', 'problem expect']","https://github.com/phpstan/phpstan/issues/1762
https://github.com/phpstan/phpstan/issues/6264
https://github.com/phpstan/phpstan/issues/3423
https://github.com/phpstan/phpstan/issues/10690
https://github.com/phpstan/phpstan/issues/3221",63,32,61,1,0,0,,,,,,"phpstan/phpstan (178)
pmd/pmd (3)",Trait handling,Errors in trait handling (PHP specific),Y
8,168,0.01261829653,Array Handling,"['offset', 'exist', 'offset exist', 'array', 'exist array', 'offset array', 'access', 'snippet', 'snippet reproduce', 'code snippet']","['error offset', 'offset array', 'array offset', 'offset report', 'offset exist', 'array report', 'output expect', 'arrayaccess report', 'expect output', 'report offset']","['offset', 'exist', 'array', 'access', 'snippet', 'problem', 'reproduce', 'output', 'report', 'isset']","['offset', 'offset exist', 'exist array', 'offset array', 'assign offset', 'expect output', 'access offset', 'arrayaccess', 'array offset', 'error offset']","https://github.com/phpstan/phpstan/issues/4829
https://github.com/phpstan/phpstan/issues/1924
https://github.com/phpstan/phpstan/issues/6743
https://github.com/phpstan/phpstan/issues/12780
https://github.com/phpstan/phpstan/issues/6395",39,37,64,0,0,0,,,,,,"phpstan/phpstan (158)
facebook/infer (3)
spotbugs/spotbugs (3)
soot-oss/soot (1)
soot-oss/SootUp (1)
diffblue/cbmc (1)
cs-au-dk/TAJS (1)",Array offset related,Errors in handling dynamic offset (PHP specific),Y
9,278,0.0208802764,Dependency,"['composer', 'call call', 'vendor', 'analyse', 'file', 'error', 'objectclosure', 'zend', 'require', 'fatal error']","['custom autoloader', 'autoloade', 'autoloader', 'autoloading', 'autoload file', 'autoload', 'fatal error', 'configuration file', 'cli build', 'dependency']","['composer', 'zend', 'override', 'vendor', 'autoloader', 'require', 'file', 'call', 'copyright', 'fatal error']","['composer', 'zend', 'autoloader', 'fatal error', 'autoload', 'autoloade', 'vendor bin', 'dependency', 'copyright zend', 'zend technologies']","https://github.com/phpstan/phpstan/issues/9256
https://github.com/phpstan/phpstan/issues/5663
https://github.com/phpstan/phpstan/issues/4699
https://github.com/phpstan/phpstan/issues/3349
https://github.com/phpstan/phpstan/issues/6765",161,10,88,1,1,0,,,,,,"phpstan/phpstan (275)
pmd/pmd (1)
vitsalis/PyCG (1)
facebook/infer (1)",Unable to summarize a topic,Dependency errors,N
