topic,top1,top2,top3
Unused Imports,pmd (92.71%),spotbugs (2.83%),phpstan (2.02%)
Annotation,spotbugs (52.6%),pmd (12.99%),infer (8.44%)
Property,phpstan (94.46%),spotbugs (2.42%),infer (1.04%)
Inheritance,phpstan (93.61%),spotbugs (2.51%),WALA (1.14%)
Loops,phpstan (97.08%),cbmc (1.25%),pmd (0.83%)
Iterables,phpstan (91.24%),pmd (2.19%),spotbugs (2.19%)
Constants,phpstan (91.85%),spotbugs (2.22%),WALA (1.48%)
Closures,phpstan (99.19%),code2flow (0.81%),
Reflections,phpstan (91.07%),cbmc (1.79%),spotbugs (1.79%)
Callables,phpstan (98.04%),spotbugs (1.31%),phasar (0.65%)
Generic Types,phpstan (92.05%),soot (1.67%),spotbugs (1.26%)
List,phpstan (94.81%),spotbugs (3.9%),cbmc (1.3%)
Array Handling,phpstan (97.49%),spotbugs (0.63%),pmd (0.5%)
Stubs Related,phpstan (100.0%),,
Try-with-resources (Java),pmd (70.53%),spotbugs (23.16%),phpstan (2.11%)
Yield,phpstan (100.0%),,
ImmutableField,pmd (83.78%),spotbugs (10.81%),opal (2.7%)
Ternary Operator,phpstan (96.3%),pmd (3.7%),
Strict Comparison,phpstan (94.07%),spotbugs (3.39%),cbmc (1.69%)
DateFormat,phpstan (97.06%),pmd (0.98%),cbmc (0.98%)
XPath,pmd (83.61%),phpstan (5.74%),scs (4.92%)
Apex,pmd (100.0%),,
Explode(),phpstan (98.48%),spotbugs (1.52%),
Lombok,pmd (88.68%),spotbugs (7.55%),phpstan (1.89%)
setCookie(),phpstan (95.24%),scs (4.76%),
curl API,phpstan (91.67%),spotbugs (5.56%),pmd (2.78%)
DOM,phpstan (94.12%),soot (2.94%),FlowDroid (2.94%)
json API,phpstan (87.88%),cbmc (6.06%),spotbugs (3.03%)
XML,phpstan (96.0%),spotbugs (4.0%),
Type Inference,phpstan (93.46%),cbmc (1.7%),pmd (1.49%)
Nullability Analysis,phpstan (89.19%),spotbugs (4.5%),infer (3.6%)
Exposure Check,spotbugs (83.33%),pmd (13.33%),phpstan (3.33%)
Taint Analysis,FlowDroid (33.75%),infer (19.46%),spotbugs (9.52%)
IR,soot (32.48%),SootUp (19.85%),cbmc (12.33%)
Call Graph,soot (33.27%),WALA (17.22%),FlowDroid (17.22%)
Code Slicing,WALA (84.21%),soot (7.89%),FlowDroid (5.26%)
Class Loading,phpstan (56.31%),soot (22.44%),infer (6.41%)
(Android) Instrumentation,soot (56.19%),FlowDroid (24.47%),infer (7.55%)
Rule Definitions,pmd (81.37%),phpstan (6.97%),spotbugs (3.62%)
Template Issues,phpstan (100.0%),,
Error Management,phpstan (52.71%),pmd (20.23%),spotbugs (6.84%)
Parsing Errors,pmd (61.78%),infer (7.85%),code2flow (6.28%)
Unexpected Results,phpstan (52.96%),cbmc (36.44%),infer (3.44%)
Missing Results,pmd (68.82%),phpstan (14.92%),spotbugs (14.03%)
Exception Handling,phpstan (60.0%),pmd (22.5%),spotbugs (11.25%)
IDE Plugin,spotbugs (56.91%),soot (16.57%),WALA (13.81%)
Multi-Language Support,pmd (60.12%),SootUp (11.66%),cbmc (9.82%)
Language Version Support,pmd (18.6%),infer (16.53%),SootUp (14.05%)
Documentation,pmd (31.58%),spotbugs (19.21%),phpstan (11.84%)
Logs,pmd (80.0%),spotbugs (10.0%),phpstan (5.0%)
Config Files,phpstan (71.2%),pmd (6.81%),spotbugs (4.19%)
Test Suites,pmd (55.05%),SootUp (12.12%),spotbugs (10.61%)
Docker,phpstan (47.62%),infer (40.48%),cbmc (9.52%)
Build System,spotbugs (27.32%),infer (23.95%),pmd (16.94%)
Compilation,infer (55.5%),cbmc (10.7%),spotbugs (7.65%)
Dependency,phpstan (98.92%),infer (0.36%),PyCG (0.36%)
Memory,phpstan (31.64%),infer (29.22%),phasar (7.51%)
Speed,phpstan (35.84%),pmd (12.39%),cbmc (11.06%)
Usability Issues,pmd (19.67%),phasar (19.67%),SootUp (12.3%)
New Release,soot (30.77%),infer (20.51%),spotbugs (10.26%)
Cleanup Deprecations,cbmc (36.47%),phpstan (23.53%),pmd (16.47%)
Error Messages Refinement,phpstan (88.72%),cbmc (4.51%),SootUp (3.01%)
Output Format,cbmc (35.29%),phpstan (35.29%),pmd (11.76%)
